,score
0,7.5
1,7.7
2,6.5
3,7.6
4,8.0
5,6.9
6,6.4
7,8.0
8,7.2
9,7.3
10,6.8
11,7.2
12,7.0
13,7.3
14,7.0
15,8.0
16,7.6
17,5.9
18,7.3
19,5.3
20,7.6
21,7.7
22,6.4
23,7.6
24,7.6
25,7.3
26,7.2
27,6.7
28,6.5
29,7.7
30,6.6
31,7.6
32,6.9
33,7.3
34,6.8
35,7.8
36,8.3
37,6.9
38,7.7
39,7.9
40,6.8
41,7.0
42,6.2
43,7.8
44,6.1
45,6.4
46,7.4
47,7.1
48,7.5
49,7.1
50,7.5
51,7.7
52,7.1
53,7.4
54,6.8
55,6.0
56,7.2
57,6.7
58,7.0
59,7.0
60,6.7
61,7.6
62,7.4
63,7.8
64,4.7
65,8.1
66,9.2
67,6.9
68,9.0
69,7.7
70,6.8
71,7.6
72,7.2
73,7.4
74,6.6
75,7.0
76,6.8
77,7.9
78,6.5
79,7.8
80,6.9
81,5.8
82,7.0
83,6.7
84,7.4
85,7.1
86,6.9
87,7.0
88,8.0
89,6.5
90,6.7
91,5.9
92,6.9
93,7.6
94,7.8
95,7.5
96,6.8
97,6.8
98,5.6
99,8.3
100,6.6
101,7.7
102,9.0
103,8.1
104,7.0
105,6.3
106,7.3
107,7.1
108,6.9
109,5.6
110,6.7
111,6.6
112,7.4
113,9.1
114,7.6
115,7.5
116,7.7
117,6.9
118,8.6
119,7.2
120,7.2
121,7.2
122,8.2
123,7.3
124,6.7
125,7.4
126,6.5
127,7.0
128,8.1
129,7.1
130,8.3
131,7.6
132,7.7
133,7.5
134,7.4
135,7.5
136,7.0
137,9.5
138,8.2
139,7.2
140,7.3
141,8.4
142,7.8
143,7.4
144,6.0
145,7.3
146,8.0
147,5.5
148,4.9
149,7.9
150,7.4
151,8.1
152,9.0
153,7.5
154,7.0
155,7.7
156,7.3
157,7.3
158,7.8
159,5.8
160,7.4
161,5.0
162,7.7
163,6.8
164,8.0
165,7.6
166,7.4
167,7.4
168,9.3
169,7.0
170,6.7
171,7.6
172,7.5
173,7.2
174,7.1
175,6.9
176,6.4
177,6.7
178,7.3
179,7.0
180,5.5
181,8.0
182,6.5
183,6.7
184,6.8
185,7.5
186,8.4
187,7.2
188,7.8
189,7.5
190,7.8
191,7.0
192,7.7
193,7.8
194,6.4
195,5.7
196,7.3
197,7.6
198,6.6
199,7.7
200,6.8
201,7.6
202,7.7
203,7.5
204,7.8
205,8.1
206,7.4
207,6.8
208,6.8
209,8.1
210,7.0
211,7.8
212,8.0
213,7.4
214,6.8
215,8.0
216,8.4
217,7.0
218,8.6
219,7.5
220,7.3
221,6.9
222,7.7
223,7.3
224,6.5
225,7.6
226,8.5
227,6.7
228,5.6
229,7.8
230,7.6
231,7.7
232,9.0
233,6.9
234,7.6
235,6.8
236,6.1
237,7.7
238,7.2
239,7.0
240,7.5
241,7.2
242,7.4
243,7.0
244,7.2
245,8.5
246,10.0
247,7.6
248,7.7
249,8.0
250,6.4
251,7.4
252,7.5
253,7.2
254,7.2
255,7.7
256,7.7
257,7.6
258,7.6
259,4.1
260,7.7
261,6.8
262,7.7
263,7.5
264,7.3
265,7.1
266,6.0
267,8.7
268,6.9
269,7.3
270,8.0
271,7.3
272,7.4
273,5.4
274,7.0
275,7.2
276,5.5
277,7.3
278,7.9
279,8.0
280,6.4
281,6.8
282,7.2
283,6.9
284,6.1
285,7.3
286,9.3
287,8.1
288,7.6
289,7.3
290,7.8
291,9.3
292,7.1
293,7.4
294,6.1
295,7.4
296,7.6
297,7.7
298,7.7
299,7.2
300,6.4
301,8.2
302,7.9
303,7.1
304,9.0
305,7.6
306,7.2
307,9.6
308,9.0
309,8.7
310,8.2
311,7.5
312,6.8
313,7.8
314,7.6
315,8.2
316,8.0
317,7.5
318,8.0
319,7.7
320,6.8
321,7.4
322,9.0
323,10.0
324,6.7
325,6.7
326,7.7
327,7.3
328,7.6
329,7.6
330,8.0
331,8.0
332,9.1
333,6.7
334,8.2
