pitchfork_id,link,artist,album,release_year,score,Unnamed: 6
3920,/reviews/albums/levon-vincent-for-paris/,Levon Vincent,For Paris,2017,7.7,
3921,/reviews/albums/richard-horowitz-eros-in-arabia/,Richard Horowitz,Eros in Arabia,1981,7.8,
3922,/reviews/albums/nhk-yx-koyxen-exit-entrance/,NHK yx koyxen,Exit Entrance,2017,7.4,
3923,/reviews/albums/king-krule-the-ooz/,King Krule,The OOZ,2017,9,
3924,/reviews/albums/weaves-wide-open/,Weaves,Wide Open,2017,7.2,
3925,/reviews/albums/fatima-al-qadiri-shaneera-ep/,Fatima Al Qadiri,Shaneera EP,2017,7.6,
3926,/reviews/albums/melkbelly-nothing-valley/,Melkbelly,Nothing Valley ,2017,7.5,
3927,/reviews/albums/courtney-barnett-kurt-vile-lotta-sea-lice/,Courtney Barnett||Kurt Vile,Lotta Sea Lice,2017,7.6,
3928,/reviews/albums/the-darkness-pinewood-smile/,The Darkness,Pinewood Smile,2017,4.8,
3929,/reviews/albums/blue-hawaii-tenderness/,Blue Hawaii,Tenderness,2017,7.2,
3930,/reviews/albums/lil-pump-lil-pump/,Lil Pump,Lil Pump,2017,6.9,
3931,/reviews/albums/wolf-parade-cry-cry-cry/,Wolf Parade,Cry Cry Cry,2017,6.7,
3932,/reviews/albums/torres-three-futures/,Torres,Three Futures,2017,8,
3933,/reviews/albums/marilyn-manson-heaven-upside-down/,Marilyn Manson,Heaven Upside Down,2017,5.9,
3934,/reviews/albums/smokepurpp-deadstar/,Smokepurpp,DEADSTAR,2017,6.2,
3935,/reviews/albums/tom-petty-and-the-heartbreakers-damn-the-torpedoes/,Tom Petty||The Heartbreakers,Damn the Torpedoes,1979,9.2,
3936,/reviews/albums/tom-petty-full-moon-fever/,Tom Petty,Full Moon Fever,1989,8.1,
3937,/reviews/albums/tom-petty-and-the-heartbreakers-tom-petty-and-the-heartbreakers/,Tom Petty||The Heartbreakers,Tom Petty and the Heartbreakers,1976,7,
3938,/reviews/albums/tom-petty-wildflowers/,Tom Petty,Wildflowers,1994,8.8,
3939,/reviews/albums/the-replacements-for-sale-live-at-maxwells-1986/,The Replacements,For Sale: Live at Maxwell’s 1986,2017,8.7,
3940,/reviews/albums/the-weather-station-the-weather-station/,The Weather Station,The Weather Station ,2017,8,
3941,/reviews/albums/kele-okereke-fatherland/,Kele Okereke,Fatherland,2017,6.5,
3942,/reviews/albums/alex-lahey-i-love-you-like-a-brother/,Alex Lahey,I Love You Like a Brother,2017,7.6,
3943,/reviews/albums/special-request-belief-system/,Special Request,Belief System,2017,6.4,
3944,/reviews/albums/wyclef-jean-the-carnival/,Wyclef Jean,The Carnival,1997,8,
3945,/reviews/albums/common-electric-circus/,Common,Electric Circus,2002,8.4,
3946,/reviews/albums/standing-on-the-corner-red-burns/,Standing on the Corner,Red Burns,2017,8,
3947,/reviews/albums/cecile-mclorin-salvant-dreams-and-daggers/,Cécile McLorin Salvant,Dreams and Daggers,2017,7.6,
3948,/reviews/albums/ziur-u-feel-anything/,Ziúr,U Feel Anything?,2017,7.1,
3949,/reviews/albums/kelela-take-me-apart/,Kelela,Take Me Apart,2017,8.6,
3950,/reviews/albums/kaitlyn-aurelia-smith-the-kid/,Kaitlyn Aurelia Smith,The Kid,2017,8.1,
3951,/reviews/albums/deradoorian-eternal-recurrence/,Deradoorian,Eternal Recurrence,2017,7.4,
