pitchfork_id,album,album_id,artist,artist_id
3921,eros in arabia,0iEbpePNJdijf0zgJWhjIe,richard horowitz,18k4PVY4WySALYiokkex0R
3922,exit entrance,0Sxn3fgo4vpExNL67NK7cs,nhk yx koyxen,4NbONoBXUifFCSRfsQI9T1
3923,the ooz,6jfq0ndRJR396m0a6LpYIq,king krule,4wyNyxs74Ux8UIDopNjIai
3924,wide open,1rw0b7EhFp6FCadkWfhRZW,weaves,3F44NFkOhpksx7b2JXMo3G
3924,wide open,6ThcZBJDXFFRRFCzS55zwS,weaves,3F44NFkOhpksx7b2JXMo3G
3925,shaneera ep,3j3jRoCD11J7bitZIxLxnK,fatima al qadiri,1pfunEyqsC4oKSBY9gr8lN
3926,nothing valley,7GmUUY3zOYnkjOZ5YLsTnX,melkbelly,7jrKVdbsnsYOR8roKyx1Th
3927,lotta sea lice,6Va3brVieuLkZIjJYf3orN,courtney barnett||kurt vile,"4OOlG5eBXSkSAAEeKjJb5Y,5gspAQIAH8nJUrMYgXjCJ2"
3928,pinewood smile,5SeddtXaUHQnwjbhNFGQ91,the darkness,5r1bdqzhgRoHC3YcCV6N5a
3929,tenderness,7HWGaMIBwnkIxYsqOPCzLx,blue hawaii,41y1iPh0WqB7tyGdzyeinZ
3930,lil pump,2VVvm4zJlUQm9XmBCvGN6z,lil pump,3wyVrVrFCkukjdVIdirGVY
3931,cry cry cry,48daTpxQYkfcylr2N7PuUV,wolf parade,0XSqX2PB3C5dTMv7SZaxSm
3932,three futures,6Mvk0OBa9pAjTgi3Rmxb1x,torres,3lrDYjsghBMfUTiLziD9q9
3933,heaven upside down,6kbfR3NJmBGlgsTPAYmezz,marilyn manson,2VYQTNDsvvKN9wmU5W7xpj
3934,deadstar,2TWKabrKN6YOZ1jgqo97uz,smokepurpp,21dooacK2WGBB5amYvKyfM
3935,damn the torpedoes,54HN1YJ7wOAKxekOnOjW26,tom petty||the heartbreakers,"2UZMlIwnkgAEDBsw1Rejkn,4tX2TplrkIP4v05BNC903e"
3936,full moon fever,5d71Imt5CIb7LpQwDMQ093,tom petty,2UZMlIwnkgAEDBsw1Rejkn
3937,tom petty and the heartbreakers,6TLTd0P2CUI0Q29AQ1LyFi,tom petty||the heartbreakers,4tX2TplrkIP4v05BNC903e
3938,wildflowers,3ZGUBwDiY5HPOcWv4SBPQg,tom petty,2UZMlIwnkgAEDBsw1Rejkn
3939,for sale: live at maxwell's 1986,3YH2ZyKNuhphyixjJvtXul,the replacements,4WPY0N74T3KUja57xMQTZ3
3940,the weather station,1XvtHMu0oP7oCBx3E73IMA,the weather station,39ZEMGRv3pIYTYKEhr4Abu
3942,i love you like a brother,5jLLazj9TDV3iyJyiT3mtn,alex lahey,5kdYrM3h2sB1Eid5tDf6Hk
3943,belief system,4XjoPR0l9SnLJjmQL3ZRx4,special request,59xdAObFYuaKO2phzzz07H
3945,electric circus,4eD2SoySMPRl0SBv7rqk1X,common,2GHclqNVjqGuiE5mA7BEoc
3945,electric circus,4S8Ehf23v6IrHSWH5pWEFa,common,2GHclqNVjqGuiE5mA7BEoc
3946,red burns,6UZsLBXdL7C5rHRfNLCesA,standing on the corner,5yD3wA48IGUoCVboe0LdHx
3947,dreams and daggers,2c9Oa8uygtwLDMpWcklVay,cecile mclorin salvant,6PkSULcbxFKkxdgrmPGAvn
3948,u feel anything?,15jLsbz7C3DMzRagWPtHeW,ziur,6Wpezkbiv0IrYhUs5eajUv
3949,take me apart,6pw1XPub1bSMq03ASVqRVu,kelela,1U0sIzpRtDkvu1hXXzxh60
3950,the kid,0tkPzRqTyqB8h8ZLfZ0m9k,kaitlyn aurelia smith,6P86FLVAK4sxu8OhyQJBvH
3951,eternal recurrence,7dltkgeztX8EMZmX0aSYPP,deradoorian,3jLCHiuXBTGEEku37TsobP
3954,the bigger artist,3HHp5I6Q6SEyU5bkvoCtnV,a boogie wit da hoodie,31W5EY0aAly4Qieq6OFu6I
3954,the bigger artist,4SaGr0KQB7xVzLZSQw6SLb,a boogie wit da hoodie,31W5EY0aAly4Qieq6OFu6I
3955,trip,7CAAClnSiXdMibPT1oyl4k,jhene aiko,5ZS223C6JyBfXasXxrRqOk
