pitchfork_id,link,artist,album,release_year,score,Unnamed: 6
11760,/reviews/albums/15439-darkbloom-ep/,d’Eon||Grimes,Darkbloom EP,2011,7.2,
11761,/reviews/albums/15456-excerpts/,Ensemble,Excerpts,2011,6.3,
11762,/reviews/albums/15447-passed-me-by/,Andy Stott,Passed Me By,2011,7.6,
11763,/reviews/albums/15429-her-favorite-colour/,Blu,Her Favorite Colo(u)r,2011,7,
11764,/reviews/albums/15448-directors-cut/,Kate Bush,Director's Cut,2011,7.3,
11765,/reviews/albums/15412-go-with-me/,Seapony,Go With Me,2011,5.3,
11766,/reviews/albums/15422-collected-by-itself-2006-to-2009/,Blank Dogs,Collected By Itself: 2006 to 2009,2011,6.5,
11767,/reviews/albums/15446-street-of-the-love-of-days/,Amor De Días,Street of the Love of Days,2011,5.7,
11768,/reviews/albums/15440-rock-roll-submarine/,Urge Overkill,Rock & Roll Submarine,2011,5.8,
11769,/reviews/albums/15443-turtleneck-chain/,The Lonely Island,Turtleneck & Chain,2011,7.1,
11770,/reviews/albums/15408-innings/,Nodzzz,Innings,2011,7.1,
11771,/reviews/albums/15425-laced/,Psychedelic Horseshit,Laced,2011,7.3,
11772,/reviews/albums/15407-the-double-cross/,Sloan,The Double Cross,2011,8.1,
11773,/reviews/albums/15414-roadkill-rising-the-bootleg-collection-1977-2009/,Iggy Pop,Roadkill Rising... The Bootleg Collection 1977-2009,2011,7.2,
11774,/reviews/albums/15433-own-your-ghost/,13 & God,Own Your Ghost,2011,6,
11775,/reviews/albums/15428-diaper-island/,Chad VanGaalen,Diaper Island,2011,7.5,
11776,/reviews/albums/15434-feel-it-break/,Austra,Feel It Break,2011,7.3,
11777,/reviews/albums/15437-destroyed/,Moby,Destroyed,2011,3.8,
11778,/reviews/albums/15399-93-million-miles/,Africa Hitech,93 Million Miles,2011,8.2,
11779,/reviews/albums/15435-rome/,Danger Mouse||Daniele Luppi,Rome,2011,7,
11780,/reviews/albums/15431-creep-on-creepin-on/,Timber Timbre,Creep On Creepin' On,2011,6.7,
11781,/reviews/albums/15424-telesterion/,Omar Rodriguez-López,Telesterion,2011,6,
11782,/reviews/albums/15418-dont-rock-the-boat-sink-the-fucker/,null -index error,"Don’t Rock the Boat, Sink the Fucker",2011,7.4,
11783,/reviews/albums/15427-aesthethica/,Liturgy,Aesthethica,2011,8.3,
11784,/reviews/albums/15436-smother/,Wild Beasts,Smother,2011,8.2,
11785,/reviews/albums/15423-sons-of-stone/,The People's Temple,Sons of Stone,2011,7.8,
11786,/reviews/albums/15420-a-young-persons-guide-to-mark-mcguire/,Mark McGuire,A Young Person's Guide to Mark McGuire,2011,8.2,
11787,/reviews/albums/15430-the-january-ep/,Here We Go Magic,The January EP,2011,6.9,
11788,/reviews/albums/15404-the-moonlight-butterfly/,The Sea and Cake,The Moonlight Butterfly,2011,7,
11789,/reviews/albums/15411-burst-apart/,The Antlers,Burst Apart,2011,8.2,
11790,/reviews/albums/15415-womens-studies/,Chrissy Murderbot,Women's Studies,2011,7,
11791,/reviews/albums/15396-back-and-4th/,null -index error,Back and 4th,2011,7.2,
11792,/reviews/albums/15421-ill-never-get-out-of-this-world-alive/,Steve Earle,I'll Never Get Out of This World Alive,2011,5.8,
11793,/reviews/albums/15419-diotima/,Krallice,Diotima,2011,7.6,
11794,/reviews/albums/15413-goblin/,"Tyler, the Creator",Goblin,2011,8,
11795,/reviews/albums/15401-celebration-florida/,The Felice Brothers,"Celebration, Florida",2011,5.7,
11796,/reviews/albums/15380-sketches-from-the-book-of-the-dead/,Mick Harvey,Sketches From the Book of the Dead,2011,6.3,
11797,/reviews/albums/15409-air-museum/,Mountains,Air Museum,2011,6.9,
11798,/reviews/albums/15416-rainforest-ep/,Clams Casino,Rainforest EP,2011,8.2,
11799,/reviews/albums/15386-past-life-martyred-saints/,EMA,Past Life Martyred Saints,2011,8.5,
11800,/reviews/albums/15371-dead-to-me/,Girls Names,Dead to Me,2011,7.3,
11801,/reviews/albums/15392-left-by-soft/,David Kilgour and the Heavy Eights,Left By Soft,2011,7.4,
11802,/reviews/albums/15402-diorama/,Dominik Eulberg,Diorama,2011,7.2,
11803,/reviews/albums/15379-false-beats-and-true-hearts/,Damon & Naomi,False Beats and True Hearts,2011,6.9,
11804,/reviews/albums/15410-i-am-very-far/,Okkervil River,I Am Very Far,2011,7.9,
11805,/reviews/albums/15373-beer-in-the-breakers/,The Wave Pictures,Beer in the Breakers,2011,5.1,
11806,/reviews/albums/15389-la-caverne/,Malajube,La Caverne,2011,7,
11807,/reviews/albums/15391-gunz-n-butta/,The U.N.,Gunz n' Butta,2011,7.6,
11808,/reviews/albums/15375-ascension/,Jesu,Ascension,2011,7,
11809,/reviews/albums/15403-eye-contact/,Gang Gang Dance,Eye Contact,2011,8.5,
11810,/reviews/albums/15388-flora/,Fredrik,Flora,2011,6.5,
11811,/reviews/albums/15387-the-deep-field/,Joan as Police Woman,The Deep Field,2011,4.5,
11812,/reviews/albums/15385-covert-coup/,Curren$y,Covert Coup,2011,7.9,
11813,/reviews/albums/15383-life-fantastic/,Man Man,Life Fantastic,2011,7.4,
11814,/reviews/albums/15395-the-perfect-lullaby/,Nguzunguzu,The Perfect Lullaby,2011,8.1,
11815,/reviews/albums/15354-talahomi-way/,The High Llamas,Talahomi Way,2011,6.8,
11816,/reviews/albums/15390-deep-politics/,Grails,Deep Politics,2011,7.9,
