pitchfork_id,album,album_id,artist,artist_id
11760,darkbloom ep,4ObLcUJkqg7dTx0mjUrAtr,d'eon||grimes,053q0ukIDRgzwTr4vNSwab
11761,excerpts,1DhZcnIUcDkDVU3tv6GEhd,ensemble,5a1fCbv0Bw3r7ehPuK3lfb
11761,excerpts,726Bmc3GCpnhRMqDGF0Oop,ensemble,5a1fCbv0Bw3r7ehPuK3lfb
11762,passed me by,09TS16vTFnLHMPmgAfBQiC,andy stott,6BuDxEE5rfuYeyhxQsl53K
11763,her favorite colo(u)r,1b0ddxpiHscAsYyGCbEDms,blu,1KeJhR0ENFviw187pD4LPT
11763,her favorite colo(u)r,60NJRBHljf2l8aARWQF4Ng,blu,1KeJhR0ENFviw187pD4LPT
11765,go with me,4pIrkGSi3hd3Ofdw3fq3zn,seapony,2oXlRFuAhCNnKcjQDu64GI
11767,street of the love of days,3MTGJsfYwpqNbsR8taKAGL,amor de dias,306Jj9bIEI4L2Pog71TrhB
11767,street of the love of days,5xX3vIvjzbzRgMgnhzgvpP,amor de dias,306Jj9bIEI4L2Pog71TrhB
11770,innings,4lfWuNmmhL09uPXiM3tHYF,nodzzz,26DA2axFQh6tcbpLQ85VRk
11771,laced,6pTwuV9GF7ArR8dyUuvExL,psychedelic horseshit,6lHbTVsBgB6KHcXg24dmWY
11772,the double cross,4Ut7HYFYJXG87skqZ3TYFl,sloan,1ahN3WDDULKaAQs7ZUrGNP
11774,own your ghost,2J1iacSlXVjAstgJsC51NG,13 & god,3Ll9XtFmamn11X3UgjNnpJ
11775,diaper island,1bonLLWD3nsxtoUxE0qANG,chad vangaalen,597yzFFRvWnxCtDInHwciZ
11776,feel it break,5Q4twEkKreQ54pnMSBKYrU,austra,1o43SzzuLoyOxqThmp7s0g
11777,destroyed,1X9Pen7uTLatW08XBodyzz,moby,3OsRAKCvk37zwYcnzRf5XF
11778,93 million miles,2eU2JKfw6eLmOuClVCpTe5,africa hitech,0NwdePm5jeQAtYt7dyFVEu
11779,rome,2nBo5nFoszkjuY0bxv1y0A,danger mouse||daniele luppi,"2dBj3prW7gP9bCCOIQeDUf,1TY8JzETLheB4vm5QblKsF"
11780,creep on creepin' on,2tWkGlUTyWZcVsqryi8U1q,timber timbre,7HeVXdOdMhLslVputGTZFQ
11781,telesterion,6XWPHXYa1Y1KBl0WlhebuC,omar rodriguez-lopez,4ANigmoglCpG6sHgfT1hkB
11781,telesterion,5noAqkdv8KLDpvInv12A63,omar rodriguez-lopez,4ANigmoglCpG6sHgfT1hkB
11783,aesthethica,4qutu7PdlUa7ZdYzsXI1EW,liturgy,5PIuMlRY9PSLUSFzs6lQu1
11784,smother,4yfi9CePcYX0vCXzkMDyDE,wild beasts,4zrFO6P7G6EZry0pfxMfKT
11785,sons of stone,6lLNKgSFgbTGnXBf7k5bUz,the people's temple,5VVgM1Vn2UVHuCTHmYSL8a
11787,the january ep,65laXdwwUZOEAbwQPQVg6R,here we go magic,4WxjrOJGIngO2hJnlCeK7f
11788,the moonlight butterfly,3HKkOjv4E0OF1SHwiOmfD8,the sea and cake,0ihBDeJlIlXo4LFfAllsGm
11789,burst apart,1VQq6vAHE5jKzvrRpizdx2,the antlers,5o8Wylae9k23IEJMIiwd8s
11790,women's studies,3Ybdxvat4NF6rgkOgmivKw,chrissy murderbot,2NiFGfkxAuuMRTPP4888hG
11793,diotima,1GU2CpDOETATm8mYizE6wO,krallice,7pICtPXy11dc7D82jsF1Xy
11794,goblin,5dbCm8qaCdWnNdVyi3urUO,"tyler, the creator",4V8LLVI7PbaPR0K2TGSxFF
11794,goblin,3scNeGKz8kAMDrYG5U971b,"tyler, the creator",4V8LLVI7PbaPR0K2TGSxFF
