pitchfork_id,artist_name,popularity,artist_id,followers,genres
0,Adrian Younge,53,4aMeIY7MkJoZg7O91cmDDd,31430,african-american classical|indie jazz
2,Eve Adams,18,1VX1sRrfeZCz2lpefE8gFo,538,
3,Drakeo the Ruler,69,0p4ViyfJUTW0IT4SCBLexf,161226,cali rap
5,Sam Gendel,50,3luuQQRuSBuDNnrkYvatnk,16453,fourth world|indie jazz|indie soul
6,Altin Gün,57,37PL04N8kBWWW69jdrMMWT,135966,dutch indie|turkish psych
7,King Gizzard & The Lizard Wizard,68,6XYvaoDGE0VmRt83Jss9Sn,647390,australian indie|australian psych|double drumming|neo-psychedelic
9,JIMMY EDGAR,42,3qIRQKST5KCIIKWgmPTY2M,23449,bass music|deconstructed club|escape room|hyperpop|wonky
10,Roosevelt,64,4AQrqVz6BYwy29iMxcGtx7,176740,alternative dance|chillwave|indie emo|indie poptimism|indie soul|nu disco|shiver pop|vapor soul
11,Nick Cave,57,1RM5gp0RFfjpJhCYFPB30p,289131,art pop|art rock|melancholia
11,Warren Ellis,56,0A8tch4LePxVn1Cn60wGXu,24416,oceania soundtrack
12,Cloud Nothings,48,6rnbB5fuUuCSsspvFsxIpT,143852,alternative rock|bubblegrunge|chillwave|cleveland indie|dance-punk|freak folk|garage psych|indie punk|indie rock|lo-fi|modern rock|noise pop|nu gaze|popgaze
13,Mia Doi Todd,38,1r3efMZ0kcejkPKP8oQZzv,11412,
14,Kìzis,14,5C6iuXnmvXK7NC6MtRbSpP,277,
15,Mouse On Mars,36,4ZgIWfyg9BkcqnJJ2xVR3f,32701,deep idm|drill and bass|dusseldorf electronic|dusseldorf indie|german electronica|indie electronica|intelligent dance music|microhouse|minimal techno|ninja|trip hop
16,Blanck Mass,39,73LvjicByRK5LazcQYZMAY,40940,abstractro|art pop|chamber psych|drone|fluxwork|hauntology|mandible|uk experimental electronic
17,Danny L Harle,51,1PNvaesh1mkKZucGhBuqgD,38926,art pop|deconstructed club|electropop|escape room|glitchcore|hyperpop
18,Rx Papi,37,56gMovAlFdnmrDk2BcfUlJ,1847,
19,Genesis,73,3CkvROUTQ6nRi9yQOcsB50,2315939,album rock|art rock|classic rock|mellow gold|progressive rock|rock|soft rock|symphonic rock
21,Julien Baker,64,12zbUHbPHL5DGuJtiUfsip,249560,ambient folk|art pop|indie folk|indie pop|indie rock
22,Madison Beer,81,2kRfqPViCqYdSGhYSM9R0Q,2979445,alt z|dance pop|electropop|pop|post-teen pop
23,Kas,29,7bArH2rfy7OiQFPEld3OWQ,203,
24,The Muckers,25,19yF7aXJdu5R9rwOAxgQZA,1673,persian rock
25,Indigo Sparke,39,3KlPjpVKfm6vESPL46NDCh,6425,art pop|chamber pop|freak folk|indie folk
26,Smerz,44,1f8PlfSHEW6fHnILSzm8dI,34338,art pop|deconstructed club|escape room|experimental pop|hyperpop
27,Lil Zay Osama,56,7rkcFChEJ9tCLcVevtu0Nt,90253,chicago rap
28,For Your Health,28,05WgLjPQXUFOyh6mlBAHs2,3435,emoviolence|mathcore|skramz
29,The Hold Steady,49,3qkZBMz5JgmRN9u5wwhRC6,66093,alternative country|alternative rock|anti-folk|freak folk|heartland rock|indie folk|indie rock|power pop|roots rock|stomp and holler
30,Ol' Burger Beats,48,4rDDy4hN7Tbrv0ntOvVKPz,15139,chillhop|jazz boom bap
30,Vuyo,39,6pWOGQubsgAiEZmzioIyDi,705,
