pitchfork_id,artist,album,score,link,release_year
0,Adrian Younge,The American Negro,4.0,/reviews/albums/adrian-younge-the-american-negro/,2021
2,Eve Adams,Metal Bird,7.5,/reviews/albums/eve-adams-metal-bird/,2021
3,Drakeo the Ruler,The Truth Hurts,7.7,/reviews/albums/drakeo-the-ruler-the-truth-hurts/,2021
5,Sam Gendel,Fresh Bread,6.5,/reviews/albums/sam-gendel-fresh-bread/,2021
6,Altin Gün,Yol,7.6,/reviews/albums/altin-gun-yol/,2021
7,King Gizzard & The Lizard Wizard,K.G.,8.0,/reviews/albums/king-gizzard-and-the-lizard-wizard-kg-lw/,2021
9,Jimmy Edgar,Cheetah Bend,6.9,/reviews/albums/jimmy-edgar-cheetah-bend/,2021
10,Roosevelt,Polydans,6.4,/reviews/albums/roosevelt-polydans/,2021
11,Nick Cave||Warren Ellis,Carnage,8.0,/reviews/albums/nick-cave-warren-ellis-carnage/,2021
12,Cloud Nothings,The Shadow I Remember,7.2,/reviews/albums/cloud-nothings-the-shadow-i-remember/,2021
13,Mia Doi Todd,Music Life,7.3,/reviews/albums/mia-doi-todd-music-life/,2021
14,Kìzis,Tidibàbide / Turn,6.8,/reviews/albums/kizis-tidibabide-turn/,2021
15,Mouse on Mars,Aai,7.2,/reviews/albums/mouse-on-mars-aai/,2021
16,Blanck Mass,In Ferneaux,7.0,/reviews/albums/blanck-mass-in-ferneaux/,2021
17,Danny L Harle,Harlecore,7.3,/reviews/albums/danny-l-harle-harlecore/,2021
18,Rx Papi,100 Miles and Walk’in,7.0,/reviews/albums/rx-papi-100-miles-and-walkin/,2021
19,Genesis,Duke,8.0,/reviews/albums/genesis-duke/,1980
21,Julien Baker,Little Oblivions,7.6,/reviews/albums/julien-baker-little-oblivions/,2021
22,Madison Beer,Life Support,5.9,/reviews/albums/madison-beer-life-support/,2021
23,Kas,Like Sunlit Threads,7.3,/reviews/albums/kas-like-sunlit-threads/,2021
24,The Muckers,Endeavor,5.3,/reviews/albums/the-muckers-endeavor/,2021
25,Indigo Sparke,Echo,7.6,/reviews/albums/indigo-sparke-echo/,2021
26,Smerz,Believer,7.7,/reviews/albums/smerz-believer/,2021
27,Lil Zay Osama,Trench Baby,6.4,/reviews/albums/lil-zay-osama-trench-baby/,2021
28,For Your Health,In Spite Of,7.6,/reviews/albums/for-your-health-in-spite-of/,2021
29,The Hold Steady,Open Door Policy,7.6,/reviews/albums/the-hold-steady-open-door-policy/,2021
30,Ol’ Burger Beats||Vuyo,Dialogue.,7.3,/reviews/albums/ol-burger-beats-vuyo-dialogue/,2021
32,Kinlaw,The Tipping Scale,7.2,/reviews/albums/kinlaw-the-tipping-scale/,2021
33,Chris Crack,Might Delete Later,6.7,/reviews/albums/chris-crack-might-delete-later/,2021
34,Mr Eazi,Something Else EP,6.5,/reviews/albums/mr-eazi-something-else-ep/,2021
35,Dax Pierson, Nerve Bumps (A Queer Divine Dissatisfaction),7.7,/reviews/albums/dax-pierson-nerve-bumps-a-queer-divine-dissatisfaction/,2021
36,"nothing,nowhere.",Trauma Factory,6.6,/reviews/albums/nothing-nowhere-trauma-factory/,2021
37,Wild Pink,A Billion Little Lights,7.6,/reviews/albums/wild-pink-a-billion-little-lights/,2021
38,Mogwai,As the Love Continues,6.9,/reviews/albums/mogwai-as-the-love-continues/,2021
40,Blessed,iii EP,7.3,/reviews/albums/blessed-iii-ep/,2021
