pitchfork_id,artist,album,score,link,release_year
0,David Byrne,“…The Best Live Show of All Time” — NME EP,5.5,https://pitchfork.com/reviews/albums/david-byrne-the-best-live-show-of-all-time-nme-ep/,2018.0
1,DJ Healer,Lost Lovesongs / Lostsongs Vol. 2,6.2,https://pitchfork.com/reviews/albums/dj-healer-lost-lovesongs-lostsongs-vol-2/,2019.0
2,Jorge Velez,Roman Birds,7.9,https://pitchfork.com/reviews/albums/jorge-velez-roman-birds/,2019.0
3,Chandra,Transportation EPs,7.8,https://pitchfork.com/reviews/albums/chandra-transportation-eps/,2018.0
4,The Chainsmokers,Sick Boy,3.1,https://pitchfork.com/reviews/albums/the-chainsmokers-sick-boy/,2018.0
5,Silent Servant,Shadows of Death and Desire,7.8,https://pitchfork.com/reviews/albums/silent-servant-shadows-of-death-and-desire/,2018.0
6,A Boogie Wit Da Hoodie,Hoodie SZN,6.8,https://pitchfork.com/reviews/albums/a-boogie-wit-da-hoodie-hoodie-szn/,2018.0
7,Çaykh,V I S C 0 9,7.3,https://pitchfork.com/reviews/albums/caykh-v-i-s-c-0-9/,2018.0
8,The-Dream,"Ménage à Trois: Sextape Vol. 1, 2, 3",7.4,https://pitchfork.com/reviews/albums/the-dream-menage-a-trois-sextape-vol-1-2-3/,2018.0
9,Doug Paisley,Starter Home,7.7,https://pitchfork.com/reviews/albums/doug-paisley-starter-home/,2018.0
10,Buzzcocks,Singles Going Steady,9.4,https://pitchfork.com/reviews/albums/buzzcocks-singles-going-steady/,1979.0
11,Various Artists,Happy New Year! We Wish You Happiness!,7.2,https://pitchfork.com/reviews/albums/various-artists-happy-new-year-we-wish-you-happiness/,2019.0
12,J. Mamana,Nothing New in the West,7.4,https://pitchfork.com/reviews/albums/j-mamana-nothing-new-in-the-west/,2018.0
13,MIKE,War in My Pen,7.6,https://pitchfork.com/reviews/albums/mike-war-in-my-pen/,2018.0
14,Hammock,Universalis,6.2,https://pitchfork.com/reviews/albums/hammock-universalis/,2018.0
15,Bad Bunny,X 100PRE,8.2,https://pitchfork.com/reviews/albums/bad-bunny-x-100pre/,2018.0
16,Charlotte Gainsbourg,Take 2 EP,7.4,https://pitchfork.com/reviews/albums/charlotte-gainsbourg-take-2-ep/,2018.0
17,21 Savage,I Am > I Was,7.8,https://pitchfork.com/reviews/albums/21-savage-i-am-i-was/,2018.0
18,Magic Dirt,Signs of Satanic Youth,7.2,https://pitchfork.com/reviews/albums/magic-dirt-signs-of-satanic-youth/,2018.0
19,Algernon Cadwallader,Some Kind of Cadwallader,8.3,https://pitchfork.com/reviews/albums/algernon-cadwallader-some-kind-of-cadwallader/,2018.0
20,Various Artists,A Day In The Life: Impressions Of Pepper,7.8,https://pitchfork.com/reviews/albums/various-artists-a-day-in-the-life-impressions-of-pepper/,2018.0
21,XXX,Language,7.3,https://pitchfork.com/reviews/albums/xxx-language/,2018.0
22,Foxwarren,Foxwarren,7.3,https://pitchfork.com/reviews/albums/foxwarren-foxwarren/,2018.0
23,Power Trip,Opening Fire: 2008-2014,7.7,https://pitchfork.com/reviews/albums/power-trip-opening-fire-2008-2014/,2018.0
24,"Scott Walker, Sia",Vox Lux OST,4.5,https://pitchfork.com/reviews/albums/scott-walker-sia-vox-lux-ost/,2018.0
25,The Funs ,Alienated,7.2,https://pitchfork.com/reviews/albums/the-funs-alienated/,2018.0
26,Twist,Distancing,7.2,https://pitchfork.com/reviews/albums/twist-distancing/,2018.0
27,Booker Stardrum,Temporary etc.,7.7,https://pitchfork.com/reviews/albums/booker-stardrum-temporary-etc/,2018.0
28,Scott Hirsch,Lost Time Behind the Moon,7.5,https://pitchfork.com/reviews/albums/scott-hirsch-lost-time-behind-the-moon/,2018.0
29,The 7th Plain, Chronicles II,7.4,https://pitchfork.com/reviews/albums/the-7th-plain-chronicles-ii-chronicles-iii/,2018.0
30,Zayn,Icarus Falls,6.4,https://pitchfork.com/reviews/albums/zayn-icarus-falls/,2018.0
31,Penelope Trappes ,Penelope Two,7.5,https://pitchfork.com/reviews/albums/penelope-trappes-penelope-two/,2018.0
32,Big Joanie  ,Sistahs,7.6,https://pitchfork.com/reviews/albums/big-joanie-sistahs/,2018.0
33,Yhung T.O.,Trust Issues,7.4,https://pitchfork.com/reviews/albums/yhung-to-trust-issues/,2018.0
34,Avril Lavigne,Let Go,6.6,https://pitchfork.com/reviews/albums/avril-lavigne-let-go/,2002.0
35,Jeff Goldblum & The Mildred Snitzer Orchestra,The Capitol Studio Sessions,6.3,https://pitchfork.com/reviews/albums/jeff-goldblum-and-the-mildred-snitzer-orch-the-capitol-studio-sessions/,2018.0
