,0,1,2,3,4
0,/reviews/albums/adrian-younge-the-american-negro/,Adrian Younge,The American Negro,2021,4.0
1,/reviews/albums/fauzia-flashes-in-time/,FAUZIA,flashes in time,2021,7.3
2,/reviews/albums/eve-adams-metal-bird/,Eve Adams,Metal Bird,2021,7.5
3,/reviews/albums/drakeo-the-ruler-the-truth-hurts/,Drakeo the Ruler,The Truth Hurts,2021,7.7
4,/reviews/albums/black-sabbath-vol-4-super-deluxe/,Black Sabbath,Vol. 4 (Super Deluxe),2021,9.0
5,/reviews/albums/sam-gendel-fresh-bread/,Sam Gendel,Fresh Bread,2021,6.5
6,/reviews/albums/altin-gun-yol/,Altin Gün,Yol,2021,7.6
7,/reviews/albums/king-gizzard-and-the-lizard-wizard-kg-lw/,King Gizzard & The Lizard Wizard,K.G.,2021,8.0
8,/reviews/albums/tarta-relena-pack-pro-nobis/,Tarta Relena,Pack Pro Nobis,2021,7.8
9,/reviews/albums/jimmy-edgar-cheetah-bend/,Jimmy Edgar,Cheetah Bend,2021,6.9
10,/reviews/albums/roosevelt-polydans/,Roosevelt,Polydans,2021,6.4
11,/reviews/albums/nick-cave-warren-ellis-carnage/,Nick Cave||Warren Ellis,Carnage,2021,8.0
12,/reviews/albums/cloud-nothings-the-shadow-i-remember/,Cloud Nothings,The Shadow I Remember,2021,7.2
13,/reviews/albums/mia-doi-todd-music-life/,Mia Doi Todd,Music Life,2021,7.3
14,/reviews/albums/kizis-tidibabide-turn/,Kìzis,Tidibàbide / Turn,2021,6.8
15,/reviews/albums/mouse-on-mars-aai/,Mouse on Mars,Aai,2021,7.2
16,/reviews/albums/blanck-mass-in-ferneaux/,Blanck Mass,In Ferneaux,2021,7.0
17,/reviews/albums/danny-l-harle-harlecore/,Danny L Harle,Harlecore,2021,7.3
18,/reviews/albums/rx-papi-100-miles-and-walkin/,Rx Papi,100 Miles and Walk’in,2021,7.0
19,/reviews/albums/genesis-duke/,Genesis,Duke,1980,8.0
20,/reviews/albums/stereolab-electrically-possessed-switched-on-vol-4/,Stereolab,Electrically Possessed (Switched On Vol. 4),2021,7.9
21,/reviews/albums/julien-baker-little-oblivions/,Julien Baker,Little Oblivions,2021,7.6
22,/reviews/albums/madison-beer-life-support/,Madison Beer,Life Support,2021,5.9
23,/reviews/albums/kas-like-sunlit-threads/,Kas,Like Sunlit Threads,2021,7.3
24,/reviews/albums/the-muckers-endeavor/,The Muckers,Endeavor,2021,5.3
25,/reviews/albums/indigo-sparke-echo/,Indigo Sparke,Echo,2021,7.6
26,/reviews/albums/smerz-believer/,Smerz,Believer,2021,7.7
27,/reviews/albums/lil-zay-osama-trench-baby/,Lil Zay Osama,Trench Baby,2021,6.4
28,/reviews/albums/for-your-health-in-spite-of/,For Your Health,In Spite Of,2021,7.6
29,/reviews/albums/the-hold-steady-open-door-policy/,The Hold Steady,Open Door Policy,2021,7.6
30,/reviews/albums/ol-burger-beats-vuyo-dialogue/,Ol’ Burger Beats||Vuyo,Dialogue.,2021,7.3
31,/reviews/albums/black-dresses-forever-in-your-heart/,Black Dresses,Forever in Your Heart,2021,7.6
32,/reviews/albums/kinlaw-the-tipping-scale/,Kinlaw,The Tipping Scale,2021,7.2
33,/reviews/albums/chris-crack-might-delete-later/,Chris Crack,Might Delete Later,2021,6.7
34,/reviews/albums/mr-eazi-something-else-ep/,Mr Eazi,Something Else EP,2021,6.5
35,/reviews/albums/dax-pierson-nerve-bumps-a-queer-divine-dissatisfaction/,Dax Pierson, Nerve Bumps (A Queer Divine Dissatisfaction),2021,7.7
36,/reviews/albums/nothing-nowhere-trauma-factory/,"nothing,nowhere.",Trauma Factory,2021,6.6
37,/reviews/albums/wild-pink-a-billion-little-lights/,Wild Pink,A Billion Little Lights,2021,7.6
38,/reviews/albums/mogwai-as-the-love-continues/,Mogwai,As the Love Continues,2021,6.9
39,/reviews/albums/loshh-ifarada-ep/,Loshh,Ífaradá EP,2021,7.8
40,/reviews/albums/blessed-iii-ep/,Blessed,iii EP,2021,7.3
41,/reviews/albums/katy-perry-teenage-dream/,Katy Perry,Teenage Dream,2010,6.8
42,/reviews/albums/femi-kuti-made-kuti-legacy/,Femi Kuti||Made Kuti,Legacy +,2021,7.8
43,/reviews/albums/cassandra-jenkins-an-overview-on-phenomenal-nature/,Cassandra Jenkins,An Overview on Phenomenal Nature,2021,8.3
44,/reviews/albums/sg-lewis-times/,SG Lewis,times,2021,6.9
45,/reviews/albums/adeline-hotel-good-timing/,Adeline Hotel,Good Timing,2021,7.7
46,/reviews/albums/pauline-anna-strom-angel-tears-in-sunlight/,Pauline Anna Strom,Angel Tears in Sunlight,2021,7.9
47,/reviews/albums/various-artists-judas-and-the-black-messiah-the-inspired-album/,Various Artists,Judas and the Black Messiah: The Inspired Album,2021,5.5
48,/reviews/albums/headie-one-edna-deluxe/,Headie One,EDNA (Deluxe),2021,6.8
49,/reviews/albums/big-ghost-ltd-conway-the-machine-if-it-bleeds-it-can-be-killed/,Big Ghost Ltd||Conway the Machine,If It Bleeds It Can Be Killed,2021,7.0
50,/reviews/albums/pale-waves-who-am-i/,Pale Waves,Who Am I?,2021,6.2
51,/reviews/albums/maassai-with-the-shifts/,Maassai,With the Shifts,2021,7.8
52,/reviews/albums/john-carpenter-lost-themes-iii-alive-after-death/,John Carpenter,Lost Themes III: Alive After Death,2021,6.1
53,/reviews/albums/clap-your-hands-say-yeah-new-fragility/,Clap Your Hands Say Yeah,New Fragility,2021,6.4
54,/reviews/albums/jane-birkin-oh-pardon-tu-dormais/,Jane Birkin,Oh! Pardon tu dormais...,2021,7.4
55,/reviews/albums/slowthai-tyron/,slowthai,TYRON,2021,7.1
56,/reviews/albums/archie-shepp-jason-moran-let-my-people-go/,Archie Shepp||Jason Moran,Let My People Go,2021,7.5
57,/reviews/albums/django-django-glowing-in-the-dark/,Django Django,Glowing in the Dark,2021,7.1
58,/reviews/albums/dusty-springfield-the-complete-atlantic-singles-1968-1971/,Dusty Springfield,The Complete Atlantic Singles 1968-1971,2021,8.0
59,/reviews/albums/ar-kane-69/,A.R. Kane,69,1988,9.1
60,/reviews/albums/the-band-stage-fright-50th-anniversary-edition/,The Band,Stage Fright (50th Anniversary Edition),2021,8.3
61,/reviews/albums/virginia-wing-private-life/,Virginia Wing,private LIFE,2021,7.5
62,/reviews/albums/octo-octa-shes-calling-ep/,Octo Octa,She’s Calling EP,2021,7.7
63,/reviews/albums/editrix-tell-me-im-bad/,Editrix,Tell Me I’m Bad,2021,7.1
64,/reviews/albums/mush-lines-redacted/,Mush,Lines Redacted,2021,7.4
65,/reviews/albums/hayley-williams-flowers-for-vases-descansos/,Hayley Williams,FLOWERS for VASES / descansos,2021,6.8
66,/reviews/albums/babyface-ray-unfckwitable/,Babyface Ray,Unfuckwitable,2021,6.0
67,/reviews/albums/tele-novella-merlynn-belle/,Tele Novella,Merlynn Belle,2021,7.2
68,/reviews/albums/maluma-7dj-7-dias-en-jamaica/,Maluma,#7DJ (7 Días En Jamaica),2021,6.7
69,/reviews/albums/pooh-shiesty-shiesty-season/,Pooh Shiesty,Shiesty Season,2021,7.0
70,/reviews/albums/black-coffee-subconsciously/,Black Coffee,Subconsciously,2021,7.0
71,/reviews/albums/ryley-walker-kikagaku-moyo-deep-fried-grandeur/,Ryley Walker||Kikagaku Moyo,Deep Fried Grandeur,2021,6.7
72,/reviews/albums/chuck-johnson-the-cinder-grove/,Chuck Johnson,The Cinder Grove,2021,7.6
73,/reviews/albums/black-country-new-road-for-the-first-time/,"Black Country, New Road",For the first time,2021,7.4
74,/reviews/albums/sarah-mary-chadwick-me-and-ennui-are-friends-baby/,Sarah Mary Chadwick,"Me and Ennui Are Friends, Baby",2021,7.8
75,/reviews/albums/muqataa-kamil-manqus/,Muqata’a,Kamil Manqus كَامِل مَنْقوص,2021,6.9
76,/reviews/albums/miss-grit-impostor-ep/,Miss Grit,Miss Grit,2021,7.0
77,/reviews/albums/foo-fighters-medicine-at-midnight/,Foo Fighters,Medicine at Midnight,2021,4.7
78,/reviews/albums/nancy-sinatra-start-walkin-1965-1976/,Nancy Sinatra,Start Walkin’ 1965-1976,2021,8.1
79,/reviews/albums/nana-yamato-before-sunrise/,Nana Yamato,Before Sunrise,2021,7.6
80,/reviews/albums/sylvester-step-ii/,Sylvester,Step II,1978,9.2
81,/reviews/albums/the-staves-good-woman/,The Staves,Good Woman,2021,6.9
82,/reviews/albums/the-weather-station-ignorance/,The Weather Station,Ignorance,2021,9.0
83,/reviews/albums/ryan-sambol-gestalt/,Ryan Sambol,Gestalt,2021,7.7
84,/reviews/albums/sun-june-somewhere/,Sun June,Somewhere,2021,6.8
85,/reviews/albums/yu-su-yellow-river-blue/,Yu Su,Yellow River Blue,2021,7.6
86,/reviews/albums/tha-god-fahim-your-old-droog-tha-wolf-on-wall-st/,Tha God Fahim||Your Old Droog,Tha Wolf on Wall St,2021,7.2
87,/reviews/albums/cristian-vogel-rebirth-of-wonky/,Cristian Vogel,Rebirth of Wonky,2021,7.4
88,/reviews/albums/florian-t-m-zeisig-music-for-parents/,Florian T M Zeisig,Music for Parents,2021,6.6
89,/reviews/albums/bisk-vacation-package/,Bisk,Vacation Package,2021,7.8
90,/reviews/albums/the-body-ive-seen-all-i-need-to-see/,The Body,I’ve Seen All I Need to See,2021,8.0
91,/reviews/albums/logic1000-youve-got-the-whole-night-to-go-ep/,Logic1000,You've Got the Whole Night to Go EP,2021,6.7
92,/reviews/albums/tv-priest-uppers/,TV Priest,Uppers,2021,7.0
93,/reviews/albums/gacha-bakradze-obscure-languages/,Gacha Bakradze,Obscure Languages,2021,6.8
94,/reviews/albums/madlib-sound-ancestors/,Madlib,Sound Ancestors,2021,7.9
95,/reviews/albums/carm-carm/,CARM,CARM,2021,6.5
96,/reviews/albums/portrayal-of-guilt-we-are-always-alone/,Portrayal of Guilt,We Are Always Alone,2021,7.8
