pitchfork_id,album,album_id,artist,artist_id
4,sick boy,6ZvDJs17O3woQirttKRYCG,the chainsmokers,69GGBxA162lTqCwzJG5jLp
5,shadows of death and desire,6rESYuqDKCsRuRzjgtg0qF,silent servant,1QwvlTkLsKbaB3JT1AV245
6,hoodie szn,3r5hf3Cj3EMh1C2saQ8jyt,a boogie wit da hoodie,31W5EY0aAly4Qieq6OFu6I
6,hoodie szn,0zv56LxhTq56QkzBVeRKUf,a boogie wit da hoodie,31W5EY0aAly4Qieq6OFu6I
8,"ménage à trois: sextape vol. 1, 2, 3",64BToIOXaOTcyrgCnDrRe3,the-dream,1W3FSF1BLpY3hlVIgvenLz
8,"ménage à trois: sextape vol. 1, 2, 3",3Zx2n9wYy9GAoZUwLi5Shc,the-dream,1W3FSF1BLpY3hlVIgvenLz
9,starter home,1hPwc5AKN6Nf7UGHwq8TKr,doug paisley,2WH0j5DM0bzoj1KRKpJFh9
10,singles going steady,6TxgQwGrbG3XZLNPOEhg7E,buzzcocks,2DxlS3lTLFIq70S7ap5H3y
12,nothing new in the west,6C7AqHhrvlZGl50knnWrwn,j. mamana,6r6nx3vBemBVdDcDHbLpyo
12,nothing new in the west,7t3ss64tCRrtD76em6kVN4,j. mamana,6r6nx3vBemBVdDcDHbLpyo
13,war in my pen,7BdX9it1ckzuw7loijX0GX,mike,1wlzPS1hSNrkriIIwLFTmU
14,universalis,21nqUsVZ216Z8vuIp3DvZH,hammock,0VOR7Ie9xUSb45fzIIVJQ1
15,x 100pre,7CjJb2mikwAWA1V6kewFBF,bad bunny,4q3ewBCX7sLwd24euuV69X
16,take 2 ep,1uLv2IHoOWlVkRJn2NePG8,charlotte gainsbourg,2rBcvLKWCZs9w1qIWv560v
17,i am > i was,007DWn799UWvfY1wwZeENR,21 savage,1URnnhqYAYcrqrcwql10ft
18,signs of satanic youth,5ZgJbI5GbSYcyrrZVNkiWF,magic dirt,6OgAO7QYncP5feMijPxBxi
